counter,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q2_text,Q3,Q3_text,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_text,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_text,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_text,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11a_1,Q11a_2,Q11a_3,Q11a_4,Q11a_5,Q11a_6,Q11a_7,Q11a_8,Q11a_9,Q11a_10,Q11a_11,Q11a_12,Q11b_1,Q11b_2,Q11b_3,Q11b_4,Q11b_5,Q11b_6,Q11b_7,Q11b_8,Q11b_9,Q11b_10,Q11b_11,Q11b_12,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_text,Q13,Q14_text,Q15,Q15_text,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_text,Q19,Q19_text,Q20,Q21,Q22,Q23
1075,10, , ,60,20,10, ,academic, ,Psychology, ,No,No,Yes,Yes,No,No,No,No,No,Yes,simulation,some,some,none,none,none,none, , ,No,No,No,No,No,No,No,No,Yes, ,agree strongly,neither agree nor disagree,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Graduate student, ,Netherlands, ,32,Female
1076,10,0,0,60,30, , ,academic, ,Environmental science, ,Yes,Yes,No,No,No,No,No,No,No,No, ,all,all,some,none,none,all, , ,Yes,Yes,No,No,No,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,disagree strongly,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,No,No,No,No,No,No,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Professor, ,Canada, ,47,Male
1077,40,5,5,40,10, , ,academic, ,Other,Anthropology/neurosceince,No,No,No,Yes,No,No,No,No,No,No, ,none,none,none,none,none,none,none, ,No,No,No,No,Yes,No,Yes,No,No, ,agree strongly,agree somewhat, ,neither agree nor disagree,disagree somewhat,agree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,disagree strongly,agree strongly,disagree somewhat,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No, ,No,No,Yes,Yes,Yes, ,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,Denmark, ,42,Male
1078,10,5,5,70,10, , ,academic, ,Engineering, ,No,No,No,Yes,No,No,No,No,No,No, ,none,none,most,some,some,none, , ,No,No,No,Yes,No,Yes,No,No,No, ,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,State/regional government, ,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Assistant Professor, ,China, ,30,Male
1079,25, , ,75, , , ,government, ,Environmental science, ,No,No,No,Yes,No,No,No,Yes,No,No, ,none,none,some,none,none,none, , ,Yes,No,No,No,No,No,No,No,No, ,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,agree strongly,disagree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,Yes,No,No,No,No,No, ,Researcher, ,United States of America,Colorado,58,Male
1080,40, , ,40,10,10,biodiversity inventories,academic, ,Ecology, ,Yes,Yes,No,Yes,No,Yes,No,No,No,No, ,none,none,some,some,none,none, , ,Yes,No,No,Yes,No,Yes,No,No,No, ,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree somewhat,disagree somewhat,disagree strongly,agree strongly,agree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree strongly,disagree strongly,agree strongly,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,neither agree nor disagree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,State/regional government, ,Don't know,No,No,No,No,No,No,No,No,No,No, ,Professor, ,France, ,41,Male
1081,70, , ,20,10, , ,academic, ,Environmental science, ,Yes,No,No,Yes,No,No,No,No,No,No, , , ,most,some, , , , ,Yes,Yes,No,Yes,No,No,No,No,No, ,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree somewhat,disagree somewhat,agree strongly,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree somewhat,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Professor, ,Brazil, ,53,Female
1082,10,5,0,50,35, , ,academic, ,Engineering, ,No,No,Yes,Yes,No,Yes,Yes,No,No,No, ,none,none,none,none,none,none, , ,Yes,Yes,Yes,No,Yes,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree somewhat,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Private foundation, ,No,No,No,No,No,No,No,No,No,No,No, ,Professor, ,United States of America,Texas,56,Male
1083,20,10,10,50,10, , ,academic, ,Biology, ,No,No,No,Yes,No,Yes,No,No,No,No, , , , , , ,most, , ,No,No,No,No,No,No,No,No,No, ,agree strongly,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat, ,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly, , , , , , , , , , , , , , , , , , , , , , , , ,Yes,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,Yes,No,No,No,No,No,No, ,Assistant Professor, ,Turkey, ,32,Male
1084,30,20,20,30,0, , ,academic, ,Atmospheric science, ,No,No,Yes,Yes,No,No,Yes,No,No,No, ,some,none,some,none,some,none,none,in my personal data base,No,No,No,Yes,No,Yes,No,Yes,No, ,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat, ,disagree somewhat,agree strongly,disagree strongly,disagree somewhat,disagree strongly,neither agree nor disagree,disagree somewhat,disagree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,disagree strongly,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes, ,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Researcher, ,Chile, ,52,Female
1085,1,1,1,15,80,2, ,academic, ,Other,sport sciences,No,No,No,No,No,Yes,No,No,No,No, ,none,none,none,none,none,none, , ,Yes,No,No,No,No,No,No,No,No, ,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,agree strongly,agree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree, , , , , , , , , , , , , , , , , , , , , , , , ,No,No,No,No,No,Yes,No,No,No,No, ,Yes - for some of my datasets, ,Local government, ,No,No,No,No,No,No,No,No,No,Yes,Yes,world wide web,Associate Professor, ,Spain, ,31,Male
1086,10, , ,65,25, , ,academic, ,Biology, ,No,No,Yes,Yes,No,Yes,No,No,No,No, ,none,none,none,none,none,none,none, ,No,No,No,No,No,Yes,No,Yes,No, ,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,disagree somewhat,disagree strongly,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No, ,No,Data provider: commertial and govermental agencies,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Assistant Professor, ,Poland, ,30,Female
1087,20,15,5,30,30, , ,academic, ,Engineering, ,No,No,Yes,Yes,No,No,No,No,No,No, ,none,none,some,some,none,none, , ,No,No,No,Yes,No,Yes,No,No,No, ,agree somewhat,agree somewhat, ,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,Yes,No,Yes,No, ,Yes,No,No,No,Yes,Yes,Yes,Yes, ,Yes,No, ,Yes,No,No,No, , , ,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,State/regional government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Associate Professor, ,Italy, ,45,Male
1088, , , , , , , , , , , ,No,No,No,No,No,No,No,No,No,No, , , , , , , , , ,No,No,No,No,No,No,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No,No,No,No,No,No,No,No,No,No, , , , , , ,No,No,No,No,No,No,No,No,No,No, , , , , , , 
1089, , ,10,90, , , ,academic, ,Engineering, ,No,No,Yes,No,No,No,No,No,No,Yes, ,some, ,most,most,some, , , ,No,No,No,No,No,No,No,Yes,No, ,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,No, ,Post-doctoral fellow, ,Germany, ,36,Male
1090,10,15,25,50, , , ,academic, ,Environmental science, ,No,No,No,Yes,No,No,No,No,No,No, ,some, , , , , , , ,No,No,No,Yes,No,No,No,No,No, ,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree strongly,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No, ,No, ,State/regional government, ,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United Kingdom of Great Britain and Northern Ireland, ,39,Female
1091,0,10,10,40,40, , ,academic, ,Ecology, ,No,Yes,No,No,No,No,No,No,No,No, ,some,some,most,some,most,some, , ,No,No,No,No,No,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,disagree somewhat,agree strongly,disagree somewhat,agree somewhat,agree strongly,agree somewhat,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,International Tree-R,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,ITRDB,Assistant Professor, ,United States of America,Alabama,31,Male
1092,35,10, ,50,5, , ,non-profit, ,Environmental science, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,some, , , , , , , ,Yes,Yes,No,Yes,No,No,No,No,Yes,Lack of data manager,agree somewhat,agree somewhat, ,agree somewhat,disagree somewhat,agree strongly,agree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,disagree somewhat,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes, , , ,No, , , , , ,Yes,Yes,Yes, , , ,No, , , , , ,No,No,No,No,No,No,No,No,No,Yes,NBII,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Maryland,59,Male
1093,20,10, , , ,70,Clinical work,other,Health Care,Other,Social Work,No,No,No,No,Yes,Yes,No,No,Yes,No, ,none,none,none,none,none,none,none, ,No,No,No,Yes,No,No,No,No,Yes,Currently not doing,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Other,None,Don't know,No,No,No,No,No,No,No,No,Yes,No, ,Other,Clincial social worker hospital,Canada, ,47,Female
1094, , , ,80,20, , ,academic, ,Other,Astronomy & Planetary Science,No,No,Yes,No,No,Yes,No,No,No,No, , , , , ,most, , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree strongly,agree strongly,disagree strongly,neither agree nor disagree,agree somewhat,disagree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,IDL,Yes - for some of my datasets, ,Federal/national government, ,Don't know,No,No,No,No,No,No,No,No,Yes,No, ,Graduate student, ,Netherlands, ,27,Female
1095,20, , ,40,40, , ,academic, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,none,none,none,none,none,none,some, ,No,Yes,No,No,Yes,No,No,No,No, ,agree strongly,agree somewhat,agree somewhat,agree strongly,disagree somewhat,agree strongly,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree strongly,disagree strongly,agree somewhat,disagree strongly, ,agree somewhat,disagree strongly,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Assistant Professor, ,Canada, ,33,Male
1096,3,0,0,70,27,0, ,academic, ,Social sciences, ,No,No,No,Yes,No,Yes,No,No,Yes,No, ,none,none,none,none,some,none,some, ,No,No,Yes,No,No,No,No,Yes,No, ,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree strongly,disagree strongly,agree strongly,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,disagree somewhat,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,No, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Assistant Professor, ,China, ,33,Female
1097,5,20,10,65, , , ,non-profit, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,all, ,some,some,some, , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,disagree strongly,agree somewhat,agree somewhat,agree somewhat,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Private foundation, ,No,No,No,No,No,No,No,No,No,No,Yes,"USGS, CRN, NYDEC",Other,Program Manager,United States of America, , ,Female
1098,20, , ,40,40, , ,academic, ,Education, ,No,No,No,No,Yes,Yes,No,No,Yes,No, ,none,none,none,none,none,none,none, ,No,No,No,No,Yes,No,No,Yes,No, ,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree somewhat,neither agree nor disagree,disagree strongly,disagree somewhat,neither agree nor disagree,agree strongly,agree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,No,Institutional Review Board (Human Subjects),Academic institution,occasional small university grants,No,No,No,No,No,No,No,No,No,No,Yes,none,Associate Professor, ,United States of America,Texas,43,Male
1099,50, , ,20,30, , ,academic, ,Biology, ,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,some, , , ,most, , , ,Yes,No,No,No,Yes,No,No,No,No, ,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,State/regional government, ,No,No,No,No,No,No,Yes,No,No,No,No, ,Graduate student, ,Mexico, ,27,Male
1100,10,10, ,40,30,10, ,academic, ,Other,Criminology & Criminal Justice,No,No,Yes,Yes,Yes,No,No,No,Yes,No, ,none,none,none,none,none,none,none, ,Yes,Yes,No,No,Yes,No,No,Yes,No, ,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree strongly,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree strongly,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,United States of America,Illinois,36,Male
1101,10,10,0,30,50, , ,academic, ,Physical sciences, ,No,No,Yes,Yes,No,No,Yes,Yes,No,No, ,some,none,none,none,none,none, ,Data is available upon request.,No,Yes,Yes,No,No,No,Yes,No,No, ,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Assistant Professor, ,United States of America,Kansas,33,Male
